UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
BA;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
BA;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
BA;2020;01;252138977.33;109557701.83;0;FPE;FPE;
BA;2020;01;0;0;0;FPE;FUNDEF;
BA;2020;01;0;0;0;ICMS;FUNDEF;
BA;2020;01;0;0;0;FPM;FUNDEF;
BA;2020;01;0;0;0;IPI-EXP;FUNDEF;
BA;2020;01;0;0;0;COUN;FUNDEF;
BA;2020;01;0;0;0;LC 87;FUNDEF;
BA;2020;01;7393310.91;3832516.06;0;IPI-EXP;IPI-Exp;
BA;2020;01;17418306.39;7568482.71;0;FPM;FUNDEB;
BA;2020;01;499391.56;258872.54;0;IPI-EXP;FUNDEB;
BA;2020;01;0;0;0;COUN;FUNDEB;
BA;2020;01;0;0;0;LC 87;FUNDEB;
BA;2020;01;117748.22;0;0;ITR;FUNDEB;
BA;2020;01;1054410.8;1377025.88;0;IPVA;FUNDEB;
BA;2020;01;2834489;63620.75;0;ITCMD;FUNDEB;
BA;2020;01;2089964.79;41147258.62;0;ICMS;FUNDEB;
BA;2020;01;17031079.49;7400228.11;0;FPE;FUNDEB;
BA;2020;01;0;1007307.43;0;CFM;Royalties;
CE;2020;01;5806545.96;0;0;CIDE/Combustível;CIDE-Combustíveis;
CE;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
CE;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
CE;2020;01;196879426.01;85546700;0;FPE;FPE;
CE;2020;01;0;0;0;FPE;FUNDEF;
CE;2020;01;0;0;0;ICMS;FUNDEF;
CE;2020;01;0;0;0;FPM;FUNDEF;
CE;2020;01;0;0;0;IPI-EXP;FUNDEF;
CE;2020;01;0;0;0;COUN;FUNDEF;
CE;2020;01;0;0;0;LC 87;FUNDEF;
CE;2020;01;1775421.76;920336.31;0;IPI-EXP;IPI-Exp;
CE;2020;01;7980400.45;3467588.83;0;FPM;FUNDEB;
CE;2020;01;101498.5;52614.35;0;IPI-EXP;FUNDEB;
CE;2020;01;0;0;0;COUN;FUNDEB;
CE;2020;01;0;0;0;LC 87;FUNDEB;
CE;2020;01;2299.17;0;0;ITR;FUNDEB;
CE;2020;01;1984715.03;2397456.32;0;IPVA;FUNDEB;
CE;2020;01;0;0;0;ITCMD;FUNDEB;
CE;2020;01;11346026.03;13588095.75;0;ICMS;FUNDEB;
CE;2020;01;11255332.89;4890590.16;0;FPE;FUNDEB;
CE;2020;01;0;117157.53;0;CFM;Royalties;
DF;2020;01;2947739.69;0;0;CIDE/Combustível;CIDE-Combustíveis;
DF;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
DF;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
DF;2020;01;18520925.71;8047585.81;0;FPE;FPE;
DF;2020;01;0;0;0;FPE;FUNDEF;
DF;2020;01;0;0;0;ICMS;FUNDEF;
DF;2020;01;0;0;0;FPM;FUNDEF;
DF;2020;01;0;0;0;IPI-EXP;FUNDEF;
DF;2020;01;0;0;0;COUN;FUNDEF;
DF;2020;01;0;0;0;LC 87;FUNDEF;
DF;2020;01;136282.54;70645.61;0;IPI-EXP;IPI-Exp;
DF;2020;01;1207838.4;524821.67;0;FPM;FUNDEB;
DF;2020;01;34070.62;17661.4;0;IPI-EXP;FUNDEB;
DF;2020;01;0;0;0;COUN;FUNDEB;
DF;2020;01;0;0;0;LC 87;FUNDEB;
DF;2020;01;4443.58;0;0;ITR;FUNDEB;
DF;2020;01;6000000;0;0;IPVA;FUNDEB;
DF;2020;01;1000000;0;0;ITCMD;FUNDEB;
DF;2020;01;53000000;0;0;ICMS;FUNDEB;
DF;2020;01;4630231.42;2011896.44;0;FPE;FUNDEB;
DF;2020;01;0;23024.24;0;CFM;Royalties;
DF;2020;01;0;603.6;0;ITA;Royalties;
ES;2020;01;3341094.61;0;0;CIDE/Combustível;CIDE-Combustíveis;
ES;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
ES;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
ES;2020;01;40251214.97;17489682.28;0;FPE;FPE;
ES;2020;01;0;0;0;FPE;FUNDEF;
ES;2020;01;0;0;0;ICMS;FUNDEF;
ES;2020;01;0;0;0;FPM;FUNDEF;
ES;2020;01;0;0;0;IPI-EXP;FUNDEF;
ES;2020;01;0;0;0;COUN;FUNDEF;
ES;2020;01;0;0;0;LC 87;FUNDEF;
ES;2020;01;6868510.67;3560472.13;0;IPI-EXP;IPI-Exp;
ES;2020;01;4141015.3;1799325.47;0;FPM;FUNDEB;
ES;2020;01;551145.86;285700.91;0;IPI-EXP;FUNDEB;
ES;2020;01;0;0;0;COUN;FUNDEB;
ES;2020;01;0;0;0;LC 87;FUNDEB;
ES;2020;01;6104.02;0;0;ITR;FUNDEB;
ES;2020;01;138492.39;420197.81;0;IPVA;FUNDEB;
ES;2020;01;51873.13;45515.14;0;ITCMD;FUNDEB;
ES;2020;01;572080.25;11475855.59;0;ICMS;FUNDEB;
ES;2020;01;3229854.62;1403414.27;0;FPE;FUNDEB;
ES;2020;01;0;20331616.81;0;PEA;Royalties;
ES;2020;01;0;100685.98;0;CFM;Royalties;
GO;2020;01;8027874.43;0;0;CIDE/Combustível;CIDE-Combustíveis;
GO;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
GO;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
GO;2020;01;76292152.83;33149943.81;0;FPE;FPE;
GO;2020;01;0;0;0;FPE;FUNDEF;
GO;2020;01;0;0;0;ICMS;FUNDEF;
GO;2020;01;0;0;0;FPM;FUNDEF;
GO;2020;01;0;0;0;IPI-EXP;FUNDEF;
GO;2020;01;0;0;0;COUN;FUNDEF;
GO;2020;01;0;0;0;LC 87;FUNDEF;
GO;2020;01;3629248.83;1881316.05;0;IPI-EXP;IPI-Exp;
GO;2020;01;11275349.36;4899287.2;0;FPM;FUNDEB;
GO;2020;01;391843.48;203122.28;0;IPI-EXP;FUNDEB;
GO;2020;01;0;0;0;COUN;FUNDEB;
GO;2020;01;0;0;0;LC 87;FUNDEB;
GO;2020;01;927454.69;0;0;ITR;FUNDEB;
GO;2020;01;1871409.24;1465150.28;0;IPVA;FUNDEB;
GO;2020;01;832796.54;398005.99;0;ITCMD;FUNDEB;
GO;2020;01;22836038.78;79291159.19;0;ICMS;FUNDEB;
GO;2020;01;8237126.91;3579139.89;0;FPE;FUNDEB;
GO;2020;01;0;1266927.21;0;CFM;Royalties;
GO;2020;01;0;245689.86;0;ITA;Royalties;
MA;2020;01;4647128.64;0;0;CIDE/Combustível;CIDE-Combustíveis;
MA;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
MA;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
MA;2020;01;193694213.21;84162683.14;0;FPE;FPE;
MA;2020;01;0;0;0;FPE;FUNDEF;
MA;2020;01;0;0;0;ICMS;FUNDEF;
MA;2020;01;0;0;0;FPM;FUNDEF;
MA;2020;01;0;0;0;IPI-EXP;FUNDEF;
MA;2020;01;0;0;0;COUN;FUNDEF;
MA;2020;01;0;0;0;LC 87;FUNDEF;
MA;2020;01;2492689.92;1292151.02;0;IPI-EXP;IPI-Exp;
MA;2020;01;5711094.85;2481545.63;0;FPM;FUNDEB;
MA;2020;01;120690.75;62563.26;0;IPI-EXP;FUNDEB;
MA;2020;01;0;0;0;COUN;FUNDEB;
MA;2020;01;0;0;0;LC 87;FUNDEB;
MA;2020;01;6301.88;0;0;ITR;FUNDEB;
MA;2020;01;95571.77;288225.1;0;IPVA;FUNDEB;
MA;2020;01;15517.18;5424.08;0;ITCMD;FUNDEB;
MA;2020;01;850903.61;815528.37;0;ICMS;FUNDEB;
MA;2020;01;9378266.18;4074980.06;0;FPE;FUNDEB;
MA;2020;01;0;238696.38;0;CFM;Royalties;
MG;2020;01;16972702.89;0;0;CIDE/Combustível;CIDE-Combustíveis;
MG;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
MG;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
MG;2020;01;119532691.34;51938526.52;0;FPE;FPE;
MG;2020;01;0;0;0;FPE;FUNDEF;
MG;2020;01;0;0;0;ICMS;FUNDEF;
MG;2020;01;0;0;0;FPM;FUNDEF;
MG;2020;01;0;0;0;IPI-EXP;FUNDEF;
MG;2020;01;0;0;0;COUN;FUNDEF;
MG;2020;01;0;0;0;LC 87;FUNDEF;
MG;2020;01;18045352.83;9354280.55;0;IPI-EXP;IPI-Exp;
MG;2020;01;46469043.39;20191410.9;0;FPM;FUNDEB;
MG;2020;01;2274757;1179179.74;0;IPI-EXP;FUNDEB;
MG;2020;01;0;0;0;COUN;FUNDEB;
MG;2020;01;0;0;0;LC 87;FUNDEB;
MG;2020;01;473913.03;0;0;ITR;FUNDEB;
MG;2020;01;45389632.59;121913281.05;0;IPVA;FUNDEB;
MG;2020;01;1818813.51;1425299.52;0;ITCMD;FUNDEB;
MG;2020;01;23019669.97;255759106.56;0;ICMS;FUNDEB;
MG;2020;01;15068025.34;6547255.19;0;FPE;FUNDEB;
MG;2020;01;0;21634467.96;0;CFM;Royalties;
MG;2020;01;0;625458.89;0;ITA;Royalties;
MS;2020;01;4008860.19;0;0;CIDE/Combustível;CIDE-Combustíveis;
MS;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
MS;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
MS;2020;01;35743079.07;15530838.09;0;FPE;FPE;
MS;2020;01;0;0;0;FPE;FUNDEF;
MS;2020;01;0;0;0;ICMS;FUNDEF;
MS;2020;01;0;0;0;FPM;FUNDEF;
MS;2020;01;0;0;0;IPI-EXP;FUNDEF;
MS;2020;01;0;0;0;COUN;FUNDEF;
MS;2020;01;0;0;0;LC 87;FUNDEF;
