Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de Senador Georgino Avelino - RN;2413201;RN;4373;0,0235 ;A;0,9906 ;C;;;
Prefeitura Municipal de São Bento do Trairí - RN;2411700;RN;4372;0,2240 ;A;0,9813 ;C;;;
Prefeitura Municipal de Cabrália Paulista - SP;3508306;SP;4371;0,0503 ;A;1,0552 ;C;;;
Prefeitura Municipal de Santa Cruz da Conceição - SP;3546207;SP;4371;0,0284 ;A;0,9531 ;C;;;
Prefeitura Municipal de Pequi - MG;3149606;MG;4369;0,0587 ;A;0,9240 ;B;-0,3265 ;C;C
Prefeitura Municipal de São João do Pacuí - MG;3162658;MG;4369;0,2913 ;A;0,9856 ;C;11,0624 ;C;C
Prefeitura Municipal de Vila Nova do Sul - RS;4323457;RS;4368;;;0,8351 ;A;0,4582 ;A;
Prefeitura Municipal de Serra Azul de Minas - MG;3166501;MG;4368;0,1992 ;A;0,9804 ;C;0,2121 ;A;C
Prefeitura Municipal de Aparecida d'Oeste - SP;3502606;SP;4362;0,0319 ;A;1,0253 ;C; -   ;;
Prefeitura Municipal de Capivari do Sul - RS;4304671;RS;4362;;;1.831.553.948.789.760,0000 ;C;0,0800 ;A;
Prefeitura Municipal de Santa Cruz de Salinas - MG;3157377;MG;4359;0,0886 ;A;0,9451 ;B;;;
Prefeitura Municipal de Olho-d'Água do Borges - RN;2408409;RN;4359;-0,0484 ;A;0,9071 ;B;0,4106 ;A;B
Prefeitura Municipal de Juramento - MG;3136801;MG;4358;0,0366 ;A;1,0166 ;C;;;
Prefeitura Municipal de Novo Planalto - GO;5215256;GO;4343;0,2168 ;A;0,9944 ;C;0,9274 ;A;C
Prefeitura Municipal de Itamarati de Minas - MG;3132602;MG;4340;0,0394 ;A;0,9766 ;C;1,0283 ;C;C
Prefeitura Municipal de Nova Itaberaba - SC;4211454;SC;4339;0,0071 ;A;0,9238 ;B; -   ;;
Prefeitura Municipal de Várzea Grande - PI;2211407;PI;4329;0,4268 ;A;0,9478 ;B;1,5840 ;C;C
Prefeitura Municipal de Santa Carmem - MT;5107248;MT;4326;0,0292 ;A;0,9322 ;B;0,2115 ;A;B
Prefeitura Municipal de Iporanga - SP;3521200;SP;4316;0,2177 ;A;0,9387 ;B;1,7030 ;C;C
Prefeitura Municipal de Contendas do Sincorá - BA;2908804;BA;4312;0,4542 ;A;0,9625 ;C;;;
Prefeitura Municipal de Francisco Ayres - PI;2204105;PI;4309;0,0911 ;A;0,9734 ;C;;;
Prefeitura Municipal de Iguaraçu - PR;4110003;PR;4309;0,2848 ;A;;;-4,9567 ;C;
Prefeitura Municipal de São João do Cariri - PB;2514008;PB;4309;0,2692 ;A;0,9538 ;C;1,1546 ;C;C
Prefeitura Municipal de Ocauçu - SP;3533700;SP;4305;;;0,9058 ;B;;;
Prefeitura Municipal de Planaltina do Paraná - PR;4119707;PR;4303;;;1,0136 ;C;0,0799 ;A;
Prefeitura Municipal de São José da Safira - MG;3163003;MG;4303;0,0047 ;A;0,9919 ;C;0,9693 ;A;C
Prefeitura Municipal de Pescador - MG;3150000;MG;4302;0,1997 ;A;1,0505 ;C;;;
Prefeitura Municipal de Nova Santa Rita - PI;2207959;PI;4295;0,3126 ;A;0,9758 ;C;2,0451 ;C;C
Prefeitura Municipal de Domingos Mourão - PI;2203420;PI;4288;0,4438 ;A;1,2271 ;C; -   ;;
Prefeitura Municipal de Poço de José de Moura - PB;2512077;PB;4282;0,0007 ;A;;;3,0238 ;C;
Prefeitura Municipal de Santana do Riacho - MG;3159001;MG;4280;0,1012 ;A;0,9591 ;C;1,2990 ;C;C
Prefeitura Municipal de Passos Maia - SC;4212270;SC;4279;0,0165 ;A;0,9496 ;B;0,0094 ;A;B
Prefeitura Municipal de Arabutã - SC;4201273;SC;4278;0,0010 ;A;;;0,0350 ;A;
Prefeitura Municipal de Riacho de Santana - RN;2410801;RN;4278;0,0344 ;A;1,0915 ;C;6,1056 ;C;C
Prefeitura Municipal de Ipiaçu - MG;3131406;MG;4277;0,6714 ;B;0,9293 ;B;;;
Prefeitura Municipal de Japaraíba - MG;3135308;MG;4275;0,0948 ;A;0,8666 ;A;0,0324 ;A;A
Prefeitura Municipal de Cafezal do Sul - PR;4103479;PR;4266;0,0983 ;A;0,8984 ;A;0,0994 ;A;A
Prefeitura Municipal de Populina - SP;3540408;SP;4254;0,3862 ;A;0,9177 ;B;;;
Prefeitura Municipal de Cordilheira Alta - SC;4204350;SC;4253;;;0,9267 ;B;0,0133 ;A;
Prefeitura Municipal de São Geraldo da Piedade - MG;3161601;MG;4251;0,0333 ;A;0,8889 ;A;;;
Prefeitura Municipal de Paraná - RN;2408607;RN;4249;;;;;;;
Prefeitura Municipal de Lagoa dos Patos - MG;3137304;MG;4248;0,1227 ;A;0,9572 ;C;;;
Prefeitura Municipal de Onda Verde - SP;3534005;SP;4248;0,2814 ;A;0,9031 ;B;;;
Prefeitura Municipal de Riacho Frio - PI;2208858;PI;4248;-0,0134 ;A;1,0586 ;C; -   ;;
Prefeitura Municipal de Mato Leitão - RS;4312153;RS;4240;0,1150 ;A;0,8084 ;A;0,2610 ;A;A
