Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de São Paulo - SP;3550308;SP;12038175;0,8859 ;B;0,9463 ;B;0,2487 ;A;B
Prefeitura Municipal de Rio de Janeiro - RJ;3304557;RJ;6498837;0,7506 ;B;1,0074 ;C;-2,6860 ;C;C
Prefeitura Municipal de Salvador - BA;2927408;BA;2938092;0,2143 ;A;0,9257 ;B;0,1987 ;A;B
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2609716;0,2208 ;A;0,9470 ;B;0,0885 ;A;B
Prefeitura Municipal de Belo Horizonte - MG;3106200;MG;2513451;0,4070 ;A;0,9352 ;B;0,2425 ;A;B
Prefeitura Municipal de Manaus - AM;1302603;AM;2094391;0,4094 ;A;0,9031 ;B;0,3963 ;A;B
Prefeitura Municipal de Curitiba - PR;4106902;PR;1893997;0,1990 ;A;0,9092 ;B;0,1336 ;A;B
Prefeitura Municipal de Recife - PE;2611606;PE;1625583;0,2762 ;A;0,9376 ;B;13,6549 ;C;C
Prefeitura Municipal de Porto Alegre - RS;4314902;RS;1481019;0,3130 ;A;0,9047 ;B;-1,5214 ;C;C
Prefeitura Municipal de Goiânia - GO;5208707;GO;1448639;0,3335 ;A;0,9365 ;B;0,9594 ;A;B
Prefeitura Municipal de Belém - PA;1501402;PA;1446042;0,3729 ;A;0,9149 ;B;1,6651 ;C;C
Prefeitura Municipal de Guarulhos - SP;3518800;SP;1337087;0,9701 ;B;0,9423 ;B;0,6885 ;A;B
Prefeitura Municipal de Campinas - SP;3509502;SP;1173370;0,3656 ;A;1,0175 ;C;5,7967 ;C;C
Prefeitura Municipal de São Luís - MA;2111300;MA;1082935;0,2711 ;A;0,9316 ;B;1,3643 ;C;C
Prefeitura Municipal de São Gonçalo - RJ;3304904;RJ;1044058;0,2871 ;A;1,0189 ;C;0,4869 ;A;C
Prefeitura Municipal de Maceió - AL;2704302;AL;1021709;0,1374 ;A;1,0084 ;C;1,2423 ;C;C
Prefeitura Municipal de Duque de Caxias - RJ;3301702;RJ;886917;0,1402 ;A;;;3,3283 ;C;
Prefeitura Municipal de Natal - RN;2408102;RN;877662;0,2604 ;A;0,9765 ;C;22,4315 ;C;C
Prefeitura Municipal de Campo Grande - MS;5002704;MS;863982;0,1577 ;A;0,9848 ;C;0,5605 ;A;C
Prefeitura Municipal de Teresina - PI;2211001;PI;847430;0,2140 ;A;0,9273 ;B;0,5859 ;A;B
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;822242;0,6223 ;B;0,9256 ;B;0,3976 ;A;B
Prefeitura Municipal de João Pessoa - PB;2507507;PB;801718;0,2163 ;A;0,9393 ;B;0,1743 ;A;B
Prefeitura Municipal de Nova Iguaçu - RJ;3303500;RJ;797435;0,2781 ;A;1,0073 ;C;2,6770 ;C;C
Prefeitura Municipal de Santo André - SP;3547809;SP;712749;0,6331 ;B;0,9337 ;B;0,6313 ;A;B
Prefeitura Municipal de Osasco - SP;3534401;SP;696382;0,5358 ;A;0,9483 ;B;0,4918 ;A;B
Prefeitura Municipal de São José dos Campos - SP;3549904;SP;695992;0,2127 ;A;0,9688 ;C;0,2756 ;A;C
Prefeitura Municipal de Jaboatão dos Guararapes - PE;2607901;PE;691125;0,1148 ;A;0,9184 ;B;1,6324 ;C;C
Prefeitura Municipal de Ribeirão Preto - SP;3543402;SP;674405;0,2228 ;A;0,9565 ;C;1,5247 ;C;C
Prefeitura Municipal de Uberlândia - MG;3170206;MG;669672;0,1929 ;A;0,9530 ;C;1,8730 ;C;C
Prefeitura Municipal de Contagem - MG;3118601;MG;653800;0,3142 ;A;0,9443 ;B;0,8831 ;A;B
Prefeitura Municipal de Sorocaba - SP;3552205;SP;652481;0,0761 ;A;0,8877 ;A;0,3679 ;A;A
Prefeitura Municipal de Aracaju - SE;2800308;SE;641523;0,1964 ;A;0,9128 ;B;0,7021 ;A;B
Prefeitura Municipal de Feira de Santana - BA;2910800;BA;622639;0,1001 ;A;0,8566 ;A;0,9854 ;A;A
Prefeitura Municipal de Cuiabá - MT;5103403;MT;585367;0,3156 ;A;0,9562 ;C;2,1452 ;C;C
Prefeitura Municipal de Joinville - SC;4209102;SC;569645;0,2158 ;A;0,8550 ;A;0,6916 ;A;A
Prefeitura Municipal de Juiz de Fora - MG;3136702;MG;559636;0,0768 ;A;1,0430 ;C;0,7061 ;A;C
Prefeitura Municipal de Londrina - PR;4113700;PR;553393;0,3473 ;A;1,0228 ;C;0,4096 ;A;C
Prefeitura Municipal de Aparecida de Goiânia - GO;5201405;GO;532135;0,2920 ;A;0,8408 ;A;0,2436 ;A;A
Prefeitura Municipal de Porto Velho - RO;1100205;RO;511219;0,3109 ;A;0,9186 ;B;0,1919 ;A;B
Prefeitura Municipal de Ananindeua - PA;1500800;PA;510834;0,0816 ;A;0,9252 ;B;2,3025 ;C;C
Prefeitura Municipal de Niterói - RJ;3303302;RJ;497883;0,2706 ;A;0,8100 ;A;0,1447 ;A;A
Prefeitura Municipal de Belford Roxo - RJ;3300456;RJ;494141;0,4856 ;A;1,0282 ;C;4,6573 ;C;C
Prefeitura Municipal de Serra - ES;3205002;ES;494109;0,2684 ;A;0,8985 ;A;0,1817 ;A;A
Prefeitura Municipal de Campos dos Goytacazes - RJ;3301009;RJ;487186;0,6047 ;B;1,0523 ;C;2,7470 ;C;C
Prefeitura Municipal de Vila Velha - ES;3205200;ES;479664;0,2204 ;A;0,8713 ;A;0,3237 ;A;A
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;479236;0,3615 ;A;0,9417 ;B;0,0564 ;A;B
Prefeitura Municipal de Florianópolis - SC;4205407;SC;477798;0,5173 ;A;0,9497 ;B;3,9967 ;C;C
Prefeitura Municipal de Macapá - AP;1600303;AP;465495;0,3797 ;A;1,0479 ;C;0,1260 ;A;C
Prefeitura Municipal de São João de Meriti - RJ;3305109;RJ;460541;0,3399 ;A;;;678,5849 ;C;
Prefeitura Municipal de Mauá - SP;3529401;SP;457696;1,2090 ;B;0,9650 ;C;3,2090 ;C;C
Prefeitura Municipal de São José do Rio Preto - SP;3549805;SP;446649;0,1923 ;A;0,9235 ;B;0,0826 ;A;B
Prefeitura Municipal de Santos - SP;3548500;SP;434359;0,1920 ;A;0,9308 ;B;1,2033 ;C;C
Prefeitura Municipal de Mogi das Cruzes - SP;3530607;SP;429321;0,2394 ;A;0,9386 ;B;0,5932 ;A;B
Prefeitura Municipal de Betim - MG;3106705;MG;422354;0,6782 ;B;0,8509 ;A;1,1648 ;C;C
Prefeitura Municipal de Diadema - SP;3513801;SP;415180;0,6117 ;B;0,9870 ;C;;;
Prefeitura Municipal de Campina Grande - PB;2504009;PB;407754;0,6736 ;B;0,9749 ;C;10,5381 ;C;C
Prefeitura Municipal de Jundiaí - SP;3525904;SP;405740;0,1798 ;A;0,9475 ;B;0,2490 ;A;B
Prefeitura Municipal de Maringá - PR;4115200;PR;403063;0,3033 ;A;0,8809 ;A;0,0168 ;A;A
Prefeitura Municipal de Montes Claros - MG;3143302;MG;398288;0,2189 ;A;0,9108 ;B;;;
Prefeitura Municipal de Carapicuíba - SP;3510609;SP;394465;0,5049 ;A;0,9001 ;B;0,5944 ;A;B
Prefeitura Municipal de Piracicaba - SP;3538709;SP;394419;0,1019 ;A;0,9817 ;C;;;
Prefeitura Municipal de Olinda - PE;2609600;PE;390144;0,1670 ;A;0,9785 ;C;2,5209 ;C;C
Prefeitura Municipal de Cariacica - ES;3201308;ES;384621;0,1378 ;A;0,8779 ;A;0,0051 ;A;A
Prefeitura Municipal de Rio Branco - AC;1200401;AC;377057;0,2965 ;A;0,8825 ;A;0,0735 ;A;A
Prefeitura Municipal de Anápolis - GO;5201108;GO;370875;0,2065 ;A;1,0123 ;C;0,6478 ;A;C
Prefeitura Municipal de Bauru - SP;3506003;SP;369368;0,3272 ;A;0,9228 ;B;0,7158 ;A;B
Prefeitura Municipal de Vitória - ES;3205309;ES;359555;0,2064 ;A;0,9120 ;B;0,0868 ;A;B
Prefeitura Municipal de Caucaia - CE;2303709;CE;358164;0,0883 ;A;0,9520 ;C;1,0000 ;C;C
Prefeitura Municipal de São Vicente - SP;3551009;SP;357989;0,4853 ;A;0,9808 ;C;;;
Prefeitura Municipal de Itaquaquecetuba - SP;3523107;SP;356774;0,4354 ;A;0,9407 ;B;33,4491 ;C;C
Prefeitura Municipal de Caruaru - PE;2604106;PE;351686;0,2045 ;A;0,9381 ;B;4,3872 ;C;C
Prefeitura Municipal de Vitória da Conquista - BA;2933307;BA;346069;0,3660 ;A;0,9565 ;C;0,3551 ;A;C
Prefeitura Municipal de Franca - SP;3516200;SP;344704;0,0278 ;A;0,9931 ;C;0,1052 ;A;C
Prefeitura Municipal de Blumenau - SC;4202404;SC;343715;0,3035 ;A;0,9338 ;B;-2,8219 ;C;C
Prefeitura Municipal de Pelotas - RS;4314407;RS;343651;0,5307 ;A;0,9218 ;B;1,7761 ;C;C
Prefeitura Municipal de Canoas - RS;4304606;RS;342634;0,2312 ;A;1,0149 ;C;2,6520 ;C;C
Prefeitura Municipal de Ponta Grossa - PR;4119905;PR;341130;0,5656 ;A;0,9621 ;C;2,1403 ;C;C
Prefeitura Municipal de Petrolina - PE;2611101;PE;337683;0,2610 ;A;0,9583 ;C;-0,2710 ;C;C
Prefeitura Municipal de Boa Vista - RR;1400100;RR;326419;0,0221 ;A;0,8276 ;A;0,0272 ;A;A
Prefeitura Municipal de Ribeirão das Neves - MG;3154606;MG;325846;0,6081 ;B;0,9373 ;B;0,8151 ;A;B
Prefeitura Municipal de Paulista - PE;2610707;PE;325590;0,0764 ;A;0,9702 ;C;1,3384 ;C;C
Prefeitura Municipal de Uberaba - MG;3170107;MG;325279;0,2666 ;A;0,9403 ;B;0,5641 ;A;B
Prefeitura Municipal de Cascavel - PR;4104808;PR;316226;0,1765 ;A;0,8575 ;A;0,0698 ;A;A
Prefeitura Municipal de Guarujá - SP;3518701;SP;313421;0,5954 ;A;0,8522 ;A;1,1449 ;C;C
Prefeitura Municipal de Taubaté - SP;3554102;SP;305174;0,1907 ;A;0,9948 ;C;17,7392 ;C;C
Prefeitura Municipal de Praia Grande - SP;3541000;SP;304705;0,0696 ;A;0,8738 ;A;0,2188 ;A;A
Prefeitura Municipal de São José dos Pinhais - PR;4125506;PR;302759;0,0463 ;A;0,9375 ;B;;;
Prefeitura Municipal de Limeira - SP;3526902;SP;298701;0,3168 ;A;0,9223 ;B;1,6056 ;C;C
Prefeitura Municipal de Petrópolis - RJ;3303906;RJ;298158;0,2634 ;A;0,9850 ;C;11,2935 ;C;C
Prefeitura Municipal de Santarém - PA;1506807;PA;294447;0,1687 ;A;0,9292 ;B;1,2722 ;C;C
Prefeitura Municipal de Camaçari - BA;2905701;BA;292074;0,4843 ;A;0,8752 ;A;0,2878 ;A;A
Prefeitura Municipal de Mossoró - RN;2408003;RN;291937;0,4316 ;A;0,9525 ;C;0,2121 ;A;C
Prefeitura Municipal de Suzano - SP;3552502;SP;288056;0,1579 ;A;0,8534 ;A;0,7157 ;A;A
Prefeitura Municipal de Palmas - TO;1721000;TO;279856;0,1413 ;A;0,8338 ;A;0,0221 ;A;A
Prefeitura Municipal de Governador Valadares - MG;3127701;MG;279665;0,1910 ;A;1,0320 ;C;4,7470 ;C;C
Prefeitura Municipal de Santa Maria - RS;4316907;RS;277309;0,2613 ;A;0,9179 ;B;5,8442 ;C;C
Prefeitura Municipal de Taboão da Serra - SP;3552809;SP;275948;0,1297 ;A;0,8920 ;A;3,4529 ;C;C
Prefeitura Municipal de Gravataí - RS;4309209;RS;273742;0,3149 ;A;0,9130 ;B;6,4857 ;C;C
Prefeitura Municipal de Várzea Grande - MT;5108402;MT;271339;0,5131 ;A;0,8858 ;A;;;
Prefeitura Municipal de Sumaré - SP;3552403;SP;269522;0,8380 ;B;0,8996 ;A;4,2617 ;C;C
Prefeitura Municipal de Juazeiro do Norte - CE;2307304;CE;268248;0,3015 ;A;0,8583 ;A;0,6894 ;A;A
Prefeitura Municipal de Marabá - PA;1504208;PA;266932;0,1106 ;A;0,8654 ;A;;;
Prefeitura Municipal de Barueri - SP;3505708;SP;264935;0,0198 ;A;0,8245 ;A;0,0188 ;A;A
Prefeitura Municipal de Embu das Artes - SP;3515004;SP;264448;0,1117 ;A;0,9868 ;C;3,8565 ;C;C
Prefeitura Municipal de Foz do Iguaçu - PR;4108304;PR;263915;0,2244 ;A;0,8690 ;A;0,2746 ;A;A
Prefeitura Municipal de Volta Redonda - RJ;3306305;RJ;263659;0,8066 ;B;0,9781 ;C;1,0035 ;C;C
Prefeitura Municipal de Ipatinga - MG;3131307;MG;259324;0,3281 ;A;0,9891 ;C;8,5339 ;C;C
Prefeitura Municipal de Imperatriz - MA;2105302;MA;253873;0,2491 ;A;1,0238 ;C;2,6893 ;C;C
Prefeitura Municipal de Viamão - RS;4323002;RS;252872;0,0777 ;A;0,9268 ;B;0,0204 ;A;B
Prefeitura Municipal de Novo Hamburgo - RS;4313409;RS;249113;0,9975 ;B;0,9567 ;C;2,2562 ;C;C
Prefeitura Municipal de Parnamirim - RN;2403251;RN;248623;0,1121 ;A;0,9807 ;C;1,1168 ;C;C
Prefeitura Municipal de São Carlos - SP;3548906;SP;243765;0,2578 ;A;0,9255 ;B;0,5702 ;A;B
Prefeitura Municipal de Macaé - RJ;3302403;RJ;239471;0,0034 ;A;0,8131 ;A;0,2136 ;A;A
Prefeitura Municipal de São José - SC;4216602;SC;236029;0,1287 ;A;0,8617 ;A;;;
Prefeitura Municipal de Indaiatuba - SP;3520509;SP;235367;0,0609 ;A;0,8707 ;A;0,0565 ;A;A
Prefeitura Municipal de Colombo - PR;4105805;PR;234941;0,0306 ;A;0,9113 ;B;0,1786 ;A;B
Prefeitura Municipal de Sete Lagoas - MG;3167202;MG;234221;0,5927 ;A;0,9872 ;C;22,6984 ;C;C
Prefeitura Municipal de Cotia - SP;3513009;SP;233696;0,0943 ;A;0,9203 ;B;0,7679 ;A;B
Prefeitura Municipal de Marília - SP;3529005;SP;233639;0,3876 ;A;0,9562 ;C;2,4654 ;C;C
Prefeitura Municipal de Divinópolis - MG;3122306;MG;232945;0,1614 ;A;0,9291 ;B;2,7779 ;C;C
Prefeitura Municipal de Arapiraca - AL;2700300;AL;232671;0,0886 ;A;1,0283 ;C;0,6535 ;A;C
Prefeitura Municipal de Americana - SP;3501608;SP;231621;0,8284 ;B;0,9571 ;C;1,3417 ;C;C
Prefeitura Municipal de Itaboraí - RJ;3301900;RJ;230786;0,1668 ;A;1,0087 ;C;29,3279 ;C;C
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;229678;0,5941 ;A;0,9454 ;B;2,0171 ;C;C
Prefeitura Municipal de Araraquara - SP;3503208;SP;228664;0,2524 ;A;0,9928 ;C;0,4651 ;A;C
Prefeitura Municipal de Jacareí - SP;3524402;SP;228214;0,4446 ;A;0,9005 ;B;0,4765 ;A;B
Prefeitura Municipal de Itapevi - SP;3522505;SP;226488;0,1159 ;A;0,8307 ;A;0,4705 ;A;A
Prefeitura Municipal de Presidente Prudente - SP;3541406;SP;223749;0,2109 ;A;0,9508 ;C;0,1527 ;A;C
Prefeitura Municipal de Maracanaú - CE;2307650;CE;223188;0,1912 ;A;0,9393 ;B;0,8638 ;A;B
Prefeitura Municipal de Itabuna - BA;2914802;BA;220386;0,8787 ;B;1,0077 ;C;0,9745 ;A;C
Prefeitura Municipal de Juazeiro - BA;2918407;BA;220253;0,5964 ;A;0,9272 ;B;0,1667 ;A;B
Prefeitura Municipal de Hortolândia - SP;3519071;SP;219039;0,2208 ;A;0,9069 ;B;0,5749 ;A;B
Prefeitura Municipal de Rondonópolis - MT;5107602;MT;218899;0,2157 ;A;0,8867 ;A;0,4803 ;A;A
Prefeitura Municipal de Santa Luzia - MG;3157807;MG;217610;0,2798 ;A;0,9944 ;C;;;
Prefeitura Municipal de Dourados - MS;5003702;MS;215486;0,2448 ;A;0,8912 ;A;0,9217 ;A;A
Prefeitura Municipal de Cabo Frio - RJ;3300704;RJ;212289;0,6869 ;B;;;33,4563 ;C;
Prefeitura Municipal de Rio Verde - GO;5218805;GO;212237;0,0697 ;A;0,8985 ;A;-5,2866 ;C;C
Prefeitura Municipal de Cachoeiro de Itapemirim - ES;3201209;ES;210325;0,0375 ;A;0,8461 ;A;0,2518 ;A;A
Prefeitura Municipal de Chapecó - SC;4204202;SC;209553;0,1122 ;A;0,9130 ;B;1,6233 ;C;C
Prefeitura Municipal de Criciúma - SC;4204608;SC;209153;0,3958 ;A;0,9371 ;B;0,7640 ;A;B
Prefeitura Municipal de Itajaí - SC;4208203;SC;208958;0,0295 ;A;0,8700 ;A;0,3427 ;A;A
Prefeitura Municipal de Rio Grande - RS;4315602;RS;208641;0,2273 ;A;0,8946 ;A;0,4960 ;A;A
Prefeitura Municipal de Alvorada - RS;4300604;RS;207392;0,1864 ;A;0,8353 ;A;0,3569 ;A;A
Prefeitura Municipal de Sobral - CE;2312908;CE;203682;0,0321 ;A;0,9539 ;C;0,4032 ;A;C
Prefeitura Municipal de Cabo de Santo Agostinho - PE;2602902;PE;202636;0,0231 ;A;0,8219 ;A;1,8001 ;C;C
Prefeitura Municipal de Rio Claro - SP;3543907;SP;201473;0,2542 ;A;0,9735 ;C;4,8744 ;C;C
Prefeitura Municipal de Passo Fundo - RS;4314100;RS;197798;0,2558 ;A;0,8492 ;A;0,6705 ;A;A
Prefeitura Municipal de Luziânia - GO;5212501;GO;196864;0,0964 ;A;0,9407 ;B; -   ;;
Prefeitura Municipal de Parauapebas - PA;1505536;PA;196259;0,1261 ;A;0,8583 ;A;0,0323 ;A;A
Prefeitura Municipal de Lauro de Freitas - BA;2919207;BA;194641;0,3033 ;A;0,9642 ;C;1,9002 ;C;C
Prefeitura Municipal de Araçatuba - SP;3502804;SP;193828;0,4650 ;A;0,9668 ;C;0,3237 ;A;C
Prefeitura Municipal de Castanhal - PA;1502400;PA;192571;0,0082 ;A;0,9397 ;B;;;
Prefeitura Municipal de Angra dos Reis - RJ;3300100;RJ;191504;0,1700 ;A;0,8399 ;A;0,3042 ;A;A
Prefeitura Municipal de Águas Lindas de Goiás - GO;5200258;GO;191499;0,4236 ;A;0,8645 ;A;;;
Prefeitura Municipal de Santa Bárbara d'Oeste - SP;3545803;SP;191024;0,1161 ;A;0,9886 ;C;3,9556 ;C;C
Prefeitura Municipal de Ferraz de Vasconcelos - SP;3515707;SP;186808;0,8838 ;B;0,8778 ;A;0,8377 ;A;B
Prefeitura Municipal de Nova Friburgo - RJ;3303401;RJ;185102;0,2478 ;A;0,9566 ;C;0,1757 ;A;C
Prefeitura Municipal de Barra Mansa - RJ;3300407;RJ;180126;0,1738 ;A;0,8874 ;A;1,0768 ;C;C
Prefeitura Municipal de Nossa Senhora do Socorro - SE;2804805;SE;179661;0,4903 ;A;0,9478 ;B;3,3082 ;C;C
Prefeitura Municipal de Guarapuava - PR;4109401;PR;179256;0,0895 ;A;0,8628 ;A;0,5447 ;A;A
Prefeitura Municipal de Ilhéus - BA;2913606;BA;178210;1,2079 ;B;0,9590 ;C;0,8539 ;A;C
Prefeitura Municipal de São José de Ribamar - MA;2111201;MA;176008;0,1284 ;A;0,9033 ;B;0,8800 ;A;B
Prefeitura Municipal de Ibirité - MG;3129806;MG;175721;0,0645 ;A;0,8176 ;A;0,0843 ;A;A
Prefeitura Municipal de Teresópolis - RJ;3305802;RJ;174587;0,3661 ;A;0,9784 ;C;1,9532 ;C;C
Prefeitura Municipal de Araguaína - TO;1702109;TO;173112;0,3898 ;A;0,8920 ;A;0,5568 ;A;A
Prefeitura Municipal de Mesquita - RJ;3302858;RJ;171020;0,1610 ;A;;;3,1887 ;C;
Prefeitura Municipal de Francisco Morato - SP;3516309;SP;169942;0,0214 ;A;0,8449 ;A;0,1309 ;A;A
Prefeitura Municipal de Itapecerica da Serra - SP;3522208;SP;169103;0,0874 ;A;0,9104 ;B;1,6173 ;C;C
Prefeitura Municipal de Itu - SP;3523909;SP;168643;0,1634 ;A;0,8829 ;A;0,8234 ;A;A
Prefeitura Municipal de Jaraguá do Sul - SC;4208906;SC;167300;0,2948 ;A;0,8247 ;A;0,1190 ;A;A
Prefeitura Municipal de Linhares - ES;3203205;ES;166491;0,0618 ;A;0,8681 ;A;0,0418 ;A;A
Prefeitura Municipal de Timon - MA;2112209;MA;166295;0,3262 ;A;1,0023 ;C;3,1839 ;C;C
Prefeitura Municipal de Poços de Caldas - MG;3151800;MG;164912;0,3048 ;A;0,9627 ;C;0,9058 ;A;C
Prefeitura Municipal de Bragança Paulista - SP;3507605;SP;162435;0,0319 ;A;0,9377 ;B;0,0862 ;A;B
Prefeitura Municipal de Pindamonhangaba - SP;3538006;SP;162327;0,0103 ;A;0,9764 ;C;;;
Prefeitura Municipal de Caxias - MA;2103000;MA;161926;0,4491 ;A;1,0159 ;C;;;
Prefeitura Municipal de Jequié - BA;2918001;BA;161880;0,4803 ;A;0,9510 ;C;;;
Prefeitura Municipal de Palhoça - SC;4211900;SC;161395;0,0254 ;A;0,8639 ;A;0,0412 ;A;A
Prefeitura Municipal de Teixeira de Freitas - BA;2931350;BA;159813;0,3255 ;A;0,9695 ;C;0,9795 ;A;C
Prefeitura Municipal de São Caetano do Sul - SP;3548807;SP;158825;0,1706 ;A;0,9464 ;B;0,8054 ;A;B
Prefeitura Municipal de Lages - SC;4209300;SC;158620;0,0846 ;A;0,9208 ;B;0,3373 ;A;B
Prefeitura Municipal de Itapetininga - SP;3522307;SP;158561;0,2809 ;A;0,9688 ;C;0,5689 ;A;C
Prefeitura Municipal de Nilópolis - RJ;3303203;RJ;158319;0,3209 ;A;0,8306 ;A;0,4745 ;A;A
Prefeitura Municipal de Valparaíso de Goiás - GO;5221858;GO;156419;0,1200 ;A;0,9072 ;B;0,8744 ;A;B
Prefeitura Municipal de Barreiras - BA;2903201;BA;155519;0,8683 ;B;0,8574 ;A;5,0377 ;C;C
Prefeitura Municipal de Alagoinhas - BA;2900702;BA;155362;0,2843 ;A;0,9350 ;B;0,8217 ;A;B
Prefeitura Municipal de Camaragibe - PE;2603454;PE;155228;0,2018 ;A;0,9077 ;B;;;
Prefeitura Municipal de Abaetetuba - PA;1500107;PA;151934;0,0184 ;A;0,9400 ;B;;;
Prefeitura Municipal de Paranaguá - PR;4118204;PR;151829;0,0987 ;A;0,8313 ;A;0,2275 ;A;A
Prefeitura Municipal de Parnaíba - PI;2207702;PI;150201;0,0358 ;A;1,1702 ;C;0,0390 ;A;C
Prefeitura Municipal de Maricá - RJ;3302700;RJ;149876;0,0166 ;A;0,6679 ;A;0,0217 ;A;A
Prefeitura Municipal de Patos de Minas - MG;3148004;MG;149856;0,0597 ;A;0,8993 ;A;3,5218 ;C;C
Prefeitura Municipal de Mogi Guaçu - SP;3530706;SP;148327;0,3752 ;A;0,9653 ;C;2,0578 ;C;C
Prefeitura Municipal de Franco da Rocha - SP;3516408;SP;147650;0,0011 ;A;0,8859 ;A;0,4203 ;A;A
Prefeitura Municipal de Porto Seguro - BA;2925303;BA;147444;0,7354 ;B;0,9285 ;B; -   ;;
Prefeitura Municipal de Pouso Alegre - MG;3152501;MG;145535;0,1220 ;A;0,8335 ;A;0,0671 ;A;A
Prefeitura Municipal de Jaú - SP;3525300;SP;144828;0,2760 ;A;0,9470 ;B;1,0783 ;C;C
Prefeitura Municipal de Queimados - RJ;3304144;RJ;144525;0,1523 ;A;0,9302 ;B;;;
Prefeitura Municipal de Teófilo Otoni - MG;3168606;MG;141502;0,2872 ;A;1,0234 ;C;2,4863 ;C;C
Prefeitura Municipal de Botucatu - SP;3507506;SP;141032;0,0157 ;A;0,8973 ;A;2,8530 ;C;C
Prefeitura Municipal de Sapucaia do Sul - RS;4320008;RS;138933;0,1292 ;A;0,8103 ;A;0,8289 ;A;A
Prefeitura Municipal de Atibaia - SP;3504107;SP;138449;0,1109 ;A;0,9587 ;C;0,8282 ;A;C
Prefeitura Municipal de Garanhuns - PE;2606002;PE;137810;0,0316 ;A;1,0218 ;C;1,2613 ;C;C
Prefeitura Municipal de Vitória de Santo Antão - PE;2616407;PE;136706;0,0537 ;A;0,8989 ;A;0,6188 ;A;A
Prefeitura Municipal de Rio das Ostras - RJ;3304524;RJ;136626;0,2264 ;A;0,8092 ;A;0,1245 ;A;A
Prefeitura Municipal de Santa Rita - PB;2513703;PB;135915;0,3761 ;A;0,9699 ;C;0,2510 ;A;C
Prefeitura Municipal de Barbacena - MG;3105608;MG;135829;0,1764 ;A;0,9812 ;C;2,5144 ;C;C
Prefeitura Municipal de Araucária - PR;4101804;PR;135459;0,1183 ;A;0,8275 ;A;0,0643 ;A;A
Prefeitura Municipal de Sabará - MG;3156700;MG;135196;0,2440 ;A;0,8925 ;A;0,2283 ;A;A
Prefeitura Municipal de Simões Filho - BA;2930709;BA;134674;0,5711 ;A;0,9308 ;B;0,9718 ;A;B
Prefeitura Municipal de Toledo - PR;4127700;PR;133824;0,1820 ;A;0,8174 ;A;0,0652 ;A;A
Prefeitura Municipal de Varginha - MG;3170701;MG;133384;0,2848 ;A;;;0,1394 ;A;
Prefeitura Municipal de Sinop - MT;5107909;MT;132934;0,1047 ;A;0,8856 ;A;0,3268 ;A;A
Prefeitura Municipal de Cametá - PA;1502103;PA;132515;;;;;;;
Prefeitura Municipal de Balneário Camboriú - SC;4202008;SC;131727;0,1267 ;A;0,8801 ;A;0,0189 ;A;A
Prefeitura Municipal de Apucarana - PR;4101408;PR;131571;0,1947 ;A;0,9426 ;B;0,0686 ;A;B
Prefeitura Municipal de Ji-Paraná - RO;1100122;RO;131560;0,1393 ;A;0,8600 ;A;0,1453 ;A;A
Prefeitura Municipal de Araras - SP;3503307;SP;130102;0,0627 ;A;0,9212 ;B;;;
Prefeitura Municipal de Uruguaiana - RS;4322400;RS;129720;0,9442 ;B;0,9389 ;B;2,3406 ;C;C
Prefeitura Municipal de Crato - CE;2304202;CE;129662;0,1297 ;A;0,8909 ;A;0,8784 ;A;A
Prefeitura Municipal de Santana de Parnaíba - SP;3547304;SP;129261;0,0065 ;A;0,7179 ;A;0,0235 ;A;A
Prefeitura Municipal de Pinhais - PR;4119152;PR;128256;0,0154 ;A;0,8593 ;A;0,1229 ;A;A
Prefeitura Municipal de Cubatão - SP;3513504;SP;127887;0,6684 ;B;0,8899 ;A;1,5450 ;C;C
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;126775;0,1612 ;A;0,9508 ;C;0,5901 ;A;C
Prefeitura Municipal de Cachoeirinha - RS;4303103;RS;126666;0,5236 ;A;0,8632 ;A;0,7540 ;A;A
Prefeitura Municipal de São Mateus - ES;3204906;ES;126437;0,0833 ;A;0,9736 ;C;0,8019 ;A;C
Prefeitura Municipal de Conselheiro Lafaiete - MG;3118304;MG;126420;0,4651 ;A;0,8288 ;A;;;
Prefeitura Municipal de Itapipoca - CE;2306405;CE;126234;0,2283 ;A;0,8805 ;A;0,2640 ;A;A
Prefeitura Municipal de Resende - RJ;3304201;RJ;126084;0,1610 ;A;0,8459 ;A;0,2763 ;A;A
Prefeitura Municipal de Brusque - SC;4202909;SC;125810;0,1742 ;A;0,8728 ;A;0,0204 ;A;A
Prefeitura Municipal de Campo Largo - PR;4104204;PR;125719;0,1162 ;A;;;0,0639 ;A;
Prefeitura Municipal de Marituba - PA;1504422;PA;125435;0,8772 ;B;1,3658 ;C; -   ;;
Prefeitura Municipal de Maranguape - CE;2307700;CE;125058;0,0477 ;A;1,0075 ;C;0,0841 ;A;C
Prefeitura Municipal de Colatina - ES;3201506;ES;123598;0,1850 ;A;0,9716 ;C;0,3023 ;A;C
